titles,year,rating,duration (min),genre,description,directors,actors
1. Das Schweigen der Lämmer,1991,8.6,118,"['Crime', 'Drama', 'Thriller']","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",['Jonathan Demme'],"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine', 'Anthony Heald', 'Brooke Smith', 'Diane Baker', 'Kasi Lemmons', 'Charles Napier', 'Tracey Walter', 'Roger Corman', 'Ron Vawter', 'Danny Darst', 'Jeffrie Lane', 'Frankie Faison', 'Paul Lazar', 'Dan Butler', 'Chris Isaak']"
2. GoodFellas - Drei Jahrzehnte in der Mafia,1990,8.7,145,"['Biography', 'Crime', 'Drama']","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",['Martin Scorsese'],"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Frank Sivero', 'Tony Darrow', 'Mike Starr', 'Frank Vincent', 'Chuck Low', 'Frank DiLeo', 'Henny Youngman', 'Gina Mastrogiacomo', 'Catherine Scorsese', 'Charles Scorsese', 'Suzanne Shepherd', 'Debi Mazar', 'Margo Winkler']"
3. Terminator 2: Tag der Abrechnung,1991,8.6,137,"['Action', 'Adventure', 'Sci-Fi']","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",['James Cameron'],"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick', 'Earl Boen', 'Joe Morton', 'S. Epatha Merkerson', 'Castulo Guerra', 'Danny Cooksey', 'Jenette Goldstein', 'Xander Berkeley', 'Leslie Hamilton Gearren', 'Ken Gibbel', 'Robert Winley', 'Pete Schrum', 'Shane Wilder', 'Michael Edwards', 'Jared Lounsbery']"
4. Mein Vetter Winnie,1992,7.6,99,"['Comedy', 'Crime']","Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",['Jonathan Lynn'],"['Joe Pesci', 'Marisa Tomei', 'Ralph Macchio', 'Mitchell Whitfield', 'Fred Gwynne', 'Lane Smith', 'Austin Pendleton', 'Bruce McGill', 'Maury Chaykin', 'Paulene Myers', 'Raynor Scheine', 'James Rebhorn', 'Chris Ellis', 'Michael Simpson', 'Lou Walker', 'Kenny Jones', 'Thomas Merdis', 'J. Don Ferguson']"
5. Reservoir Dogs - Wilde Hunde,1992,8.3,130,"['Crime', 'Thriller']","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",['Quentin Tarantino'],"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn', 'Steve Buscemi', 'Lawrence Tierney', 'Randy Brooks', 'Kirk Baltz', 'Edward Bunker', 'Quentin Tarantino', 'Rich Turner', 'David Steen', 'Tony Cosmo', 'Stevo Polyi', 'Michael Sottile', 'Robert Ruth', 'Lawrence Bender', 'Linda Kaye']"
6. Grüne Tomaten,1991,7.7,162,['Drama'],"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe.",['Jon Avnet'],"['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker', 'Cicely Tyson', ""Chris O'Donnell"", 'Stan Shaw', 'Gailard Sartain', 'Timothy Scott', 'Gary Basaraba', 'Lois Smith', 'Jo Harvey Allen', 'Macon McCalman', 'Richard Riehle', 'Raynor Scheine', 'Grace Zabriskie', 'Reid Binion', 'Afton Smith']"
7. Der Pate 3,1990,7.6,84,"['Crime', 'Drama']","Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",['Francis Ford Coppola'],"['Al Pacino', 'Diane Keaton', 'Andy Garcia', 'Talia Shire', 'Eli Wallach', 'Joe Mantegna', 'George Hamilton', 'Bridget Fonda', 'Sofia Coppola', 'Raf Vallone', ""Franc D'Ambrosio"", 'Donal Donnelly', 'Richard Bright', 'Helmut Berger', 'Don Novello', 'John Savage', 'Franco Citti', 'Mario Donatone']"
8. Die Schöne und das Biest,1991,8.0,113,"['Animation', 'Family', 'Fantasy']",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,['Gary Trousdale'],"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti', 'Rex Everhart', 'Angela Lansbury', 'Jerry Orbach', 'Bradley Pierce', 'David Ogden Stiers', 'Richard White', 'Jo Anne Worley', 'Mary Kay Bergman', 'Brian Cummings', 'Alvin Epstein', 'Tony Jay', 'Alec Murphy', 'Kimmy Robertson', 'Hal Smith', 'Kath Soucie']"
9. Total Recall - Die totale Erinnerung,1990,7.5,130,"['Action', 'Adventure', 'Sci-Fi']","When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",['Paul Verhoeven'],"['Arnold Schwarzenegger', 'Sharon Stone', 'Michael Ironside', 'Rachel Ticotin', 'Ronny Cox', 'Marshall Bell', 'Mel Johnson Jr.', 'Michael Champion', 'Roy Brocksmith', 'Ray Baker', 'Rosemary Dunsmore', 'David Knell', 'Alexia Robinson', 'Dean Norris', 'Mark Carlton', 'Debbie Lee Carrington', 'Lycia Naff', 'Robert Costanzo']"
10. Erbarmungslos,1992,8.2,103,"['Drama', 'Western']","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",['Clint Eastwood'],"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris', 'Jaimz Woolvett', 'Saul Rubinek', 'Frances Fisher', 'Anna Thomson', 'David Mucci', 'Rob Campbell', 'Anthony James', 'Tara Frederick', 'Beverley Elliott', 'Liisa Repo-Martell', 'Josie Smith', 'Shane Meier', 'Aline Levasseur', 'Cherrilene Cardinal']"
11. Kevin - Allein zu Haus,1990,7.7,130,"['Comedy', 'Family']","An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",['Chris Columbus'],"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard', 'Roberts Blossom', ""Catherine O'Hara"", 'Angela Goethals', 'Devin Ratray', 'Gerry Bamman', 'Hillary Wolf', 'John Candy', 'Larry Hankin', 'Michael C. Maronna', 'Kristin Minter', 'Diana Rein', 'Jedidiah Cohen', 'Kieran Culkin', 'Senta Moses']"
12. Thelma & Louise,1991,7.6,181,"['Adventure', 'Crime', 'Drama']","Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two women escape for the crimes they committed.",['Ridley Scott'],"['Susan Sarandon', 'Geena Davis', 'Harvey Keitel', 'Michael Madsen', 'Christopher McDonald', 'Stephen Tobolowsky', 'Brad Pitt', 'Timothy Carhart', 'Lucinda Jenney', 'Jason Beghe', 'Sonny Carl Davis', 'Shelly Desai', 'Ken Swofford', 'Carol Mansell', 'Stephen Polk', 'Rob Roy Fitzgerald', 'Jack Lindine', 'Michael Doman']"
13. Der mit dem Wolf tanzt,1990,8.0,112,"['Adventure', 'Drama', 'Western']","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.",['Kevin Costner'],"['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant', ""Floyd 'Red Crow' Westerman"", 'Tantoo Cardinal', 'Robert Pastorelli', 'Charles Rocket', 'Maury Chaykin', 'Jimmy Herman', 'Nathan Lee Chasing His Horse', 'Michael Spears', 'Jason R. Lone Hill', 'Tony Pierce', 'Doris Leader Charge', 'Tom Everett', 'Larry Joshua', 'Kirk Baltz']"
14. Der letzte Mohikaner,1992,7.7,90,"['Action', 'Adventure', 'Drama']",Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,['Michael Mann'],"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means', 'Eric Schweig', 'Jodhi May', 'Steven Waddington', 'Wes Studi', 'Maurice Roëves', 'Patrice Chéreau', 'Edward Blatchford', 'Terry Kinney', 'Tracey Ellis', 'Justin M. Rice', 'Dennis Banks', 'Pete Postlethwaite', 'Colm Meaney', 'Mac Andrews', 'Malcolm Storry']"
